Botanical Family,Genus,Latin Binomial Name,Harris 50 Plants,Plants
Poaceae,Zea,Zea mays,,corn
Poaceae,Triticum,Triticum aestivum,,wheat
Poaceae,Hordeum,Hordeum vulgare,,barley
Cucurbitaceae,Citrullus,Citrullus lanatus,,watermelon
Fagaceae,Quercus,Quercus rubra,,oak tree
Aceraceae,Acer,Acer rubrum,,maple tree
Lamiaceae,Ocimum,Ocimum basilicum,,basil
Solanaceae,Solanum,Solanum tuberosum,,potato
Asphodelaceae,Aloe,Aloe succotrina,,aloe
Arecaceae,Cocos,Cocos nucifera,,palm tree
Betulaceae,Betula,Betula lenta,,birch tree
Amaranthaceae,Beta,Beta vulgaris,,beets
Asteraceae,Bellis,Bellis perennis,,daisy
Rosaceae,Rosa,Rosa rugosa,,rose
Liliaceae,Tulipa,Tulipa gesneriana,,tulip
Orchidaceae,Orchis,Orchis militaris,,orchid
Dennstaedtiaceae,Pteridium,Pteridium aquilinum,,fern
Cactaceae,Echinocactus,Echinocactus grusonii,,cactus
Vitaceae,Vitis,Vitis vinifera,,grape
Ericaceae,Vaccinium,Vaccinium macrocarpon,,cranberry
Poaceae,Poa,Poa pratensis,,grass
Rosaceae,Malus,Malus pumila,,apple tree
Lauraceae,Persea,Persea americana,,avocado
Piperaceae,Piper,Piper nigrum,,pepper
Cucurbitaceae,Cucumis,Cucumis sativa,,cucumber
Apiaceae,Daucus,Daucus carota,,carrot
Rosaceae,Rubus,Rubus strigosus,,raspberry
Ericaceae,Vaccinium,Vaccinium corymbosum,,blueberry
Rosaceae,Rubus,Rubus occidentalis,,blackberry
Solanaceae,Nicotiana,Nicotiana tabacum,,tobacco
Malvaceae,Gossypium,Gossypium hirsutum,,cotton
Poaceae,Saccharum,Saccharum officinarum,,sugarcane
Cucurbitaceae,Cucurbita,Cucurbita maxima,,pumpkin
Solanaceae,Solanum,Solanum melongena,,eggplant
Cucurbitaceae,Cucurbita,Cucurbita pepo,,squash
Fabaceae,Pisum,Pisum sativum,,pea
Brassicaceae,Arabidopsis,Arabidopsis thaliana,,arabidopsis
Poaceae,Oryza,Oryza sativa,,rice
Fabaceae,Lens,Lens culinaris,,lentil
Sarraceniaceae,Sarracenia,Sarracenia purpurea,,pitcher plant
Lauraceae,Cinnamonum,Cinnamonum camphora,,cinnamon
Poaceae,Bambusa,Bambusa affinis,,bamboo
Brassicaceae,Brassica,Brassica oleraceae,,cabbage
Orchidaceae,Vanilla,Vanilla planifolia,,vanilla
Malvaceae,Theobroma,Theobroma cacao,,cocoa
Anacardiaceae,Toxicodendron,Toxicodendron radicans,,poison ivy
Amaryllidaceae,Allium,Allium sativum,,garlic
Rosaceae,Prunus,Prunus armeniaca,,apricot
Aquifoliaceae,Ilex,Ilex aquifolium,,holly
Oleaceae,Jasminum,Jasminum officinale,,jasmine
Lamiaceae,Lavendula,Lavendula angustifolia,,lavender
